Nom;Parti;Actif;Titulaire
Abdú Mané;MADEM-G15;Sim;Sim
Abel da Silva;MADEM-G15;Sim;Sim
Abubacri Demba Baldé;MADEM-G15;Sim;Sim
Adja Satú Camará;MADEM-G15;Sim;Sim
"Adulai Baldé ""Nhiribui""";MADEM-G15;Sim;Sim
Adulai Sow;PRS;Sim;Sim
Agnelo Regalla;UM;Sim;Sim
Aladje Alanso Fati;MADEM-G15;Sim;Sim
Almame Cassamá;PAIGC;Sim;Sim
Amadu Candé;PTG;Sim;Sim
Amadu Lamine Sano;MADEM-G15;Sim;Sim
António Patrocínio;PAIGC;Sim;Sim
António Una;PRS;Sim;Sim
Armando Mango;PAIGC;Sim;Sim
Bacar Djassi;PAIGC;Sim;Sim
Bamba Koté;MADEM-G15;Sim;Sim
Bernardo Braima Mané;MADEM-G15;Sim;Sim
Botche Candé;PTG;Não;Sim
Braima Camará;MADEM-G15;Sim;Sim
Cadí Seidi;PAIGC;Sim;Sim
Calido Baldé;MADEM-G15;Sim;Sim
Califa Seidi;PAIGC;Sim;Sim
Carambá Sacó;PAIGC;Sim;Sim
Carlitos Djedjo;PAIGC;Sim;Sim
Cipriano Mendes Pereira;MADEM-G15;Sim;Sim
Dan Ialá;PAIGC;Sim;Sim
Dikson Varela;PAIGC;Sim;Sim
Dionísio Pereira;PAIGC;Sim;Sim
Djariato Gomes Djaló;PAIGC;Sim;Sim
Djenabu Sambu Djassi;PAIGC;Sim;Sim
Domingos Simões Pereira;PAIGC;Sim;Sim
Domingos Sá;PAIGC;Sim;Sim
Dundu Sambú;PAIGC;Sim;Sim
Faustino de Pina Rodrigues;PAIGC;Sim;Sim
Fernando Dias;PRS;Sim;Sim
Fidélis Forbs;MADEM-G15;Sim;Sim
Flávio Caetano Ferreira;PAIGC;Sim;Sim
Fodé Djassi;MADEM-G15;Sim;Sim
Félix Bulutna Nandungue;PRS;Não;Sim
Gabriela Fernandes;PAIGC;Sim;Sim
Geraldo Martins;PAIGC;Sim;Sim
Gibril Jassi;PAIGC;Sim;Sim
Gibril Mané;PAIGC;Sim;Sim
Guilherme Augusto António Damas;PAIGC;Sim;Sim
Herculano Encada;PRS;Sim;Sim
Iaia Baldé;PAIGC;Sim;Sim
Ilídio Vieira Té;PRS;Sim;Sim
José Carlos Macedo Monteiro;MADEM-G15;Sim;Sim
José Miguel Dias;PAIGC;Sim;Sim
João Aníbal Pereira;PAIGC;Sim;Sim
João Maria Baticã Ferreira;UM;Sim;Sim
Júlio Baldé;MADEM-G15;Sim;Sim
Lamine Baldé;PTG;Sim;Sim
Macote Ambrozio;PAIGC;Sim;Sim
Malam Cassamá II;PAIGC;Sim;Sim
Malam Mané;PAIGC;Sim;Sim
Malam Sambú;PRS;Sim;Sim
Mamadu Djaló;MADEM-G15;Sim;Sim
Mamadu Uri Djaló;MADEM-G15;Sim;Sim
Mandú Camará;PAIGC;Sim;Sim
Manuel Irénio Lopes Nascimento;MADEM-G15;Sim;Sim
Marceano Alvarenga Vaz;MADEM-G15;Sim;Sim
Marciano Barbeiro;MADEM-G15;Sim;Sim
Marciano Indi;PAIGC;Sim;Sim
Matilde N'Dequi;PAIGC;Sim;Sim
Michel Fadul;PRS;Sim;Sim
Morna Nhancú;PRS;Sim;Sim
Mussa Cassama;MADEM-G15;Sim;Sim
Mário Musante;PAIGC;Sim;Sim
Mário Saiegh;PAIGC;Sim;Sim
Mário Siano Fambé;PRS;Sim;Sim
Nelson Moreira;MADEM-G15;Sim;Sim
Nuno Nabiam;APU-PDGB;Não;Sim
Octávio Lopes;PAIGC;Sim;Sim
Odete Semedo;PAIGC;Sim;Sim
Orlando Mendes Viegas;PRS;Sim;Sim
Papa Mané;PAIGC;Sim;Sim
Paula Pereira;PAIGC;Sim;Sim
Paulo Bodjam;PAIGC;Sim;Sim
Pedro Barbosa Mendonça;PAIGC;Sim;Sim
Rui Barros;PAIGC;Sim;Sim
Rui Gonçalves Cardoso;PAIGC;Sim;Sim
Saico Umaro Embaló;PAIGC;Sim;Sim
Saido Baldé;PTG;Sim;Sim
Saido Embaló;PTG;Sim;Sim
Salimato Sanhá;PAIGC;Sim;Sim
Saliu Embaló;PAIGC;Sim;Sim
Sandji Fati;MADEM-G15;Sim;Sim
Seco Umaro Baldé;PTG;Sim;Sim
Secuna Djassi;PAIGC;Sim;Sim
Sidney Pinto;PAIGC;Sim;Sim
Siga Batista;PRS;Sim;Sim
Soares Sambu;MADEM-G15;Não;Sim
Suzi Barbosa;MADEM-G15;Não;Sim
Umaro Conté;PAIGC;Sim;Sim
Umaro Djau II;MADEM-G15;Sim;Sim
Umaro Jamanca;PAIGC;Sim;Sim
Ussumane Camará;PAIGC;Sim;Sim
Veríssimo Tamba;PAIGC;Sim;Sim
Vicente Cachia;PAIGC;Sim;Sim
Victor Cassamá;PAIGC;Sim;Sim
Victor Mandinga;MADEM-G15;Sim;Sim
