nom,parti_politique
ABIOSSE Abdoul Razack,UPR
ADECHOKAN Gafari,LD
ADJAÏ Titilayo,BR
ADJOVI Chantal,LD
ADOMAHOU Jérémie,UPR
AGBODJETE Hounsa Justin,UPR
AGONGBONON Dossa Lambert,BR
AGOUA Assogba Edmond,UPR
AHOSSI Comlan Léon,LD
AHOUANVOEBLA Sèdogbo Augustin,UPR
AHOUMENOU Cécile Sègbégnon,UPR
AHYI Dédévi Eugénie Chantal,BR
AIHE Y. Elise,LD
AÏKOELE Agoï Rogatienne,UPR
AKE Natondé,UPR
AKITOBI Olga Adédogni Olourémi,UPR
AKPOVI Eustache,UPR
ALLADATIN Jean-Baptiste Orden Rosae,UPR
ALLOSSOHOUN Richard,UPR
AMADOU DJIBRIL Labiou,UPR
AMOUSSOU Sossou Bernard,UPR
APITHY Sèdozan Jean-Claude Clovis,UPR
ATCHADE Nourénou,LD
BAKO ARIFARI Nassirou,BR
BEHANZIN Yénankponhami Edouard,UPR
CHABI GORO Baké,UPR
DADEGNON Alice Melevi,UPR
DAGNIHO Rosine,BR
DEGBEDJI Mahoutin Dénise,UPR
DEGLA Assouan Comlan Bénoît,BR
DEGNY Fadégnon Léon,LD
DJEIGO Maixent Didier Paulin,UPR
Do REGO B. Léansou,LD
DOSSOU Codjo Louis,UPR
FAGBEMI Brice Dénis Sèna,UPR
FAGNON Kotchami Nicaise,UPR
FATOLOU Omobolanle Rachidatou,BR
FONTON Edmonde Tagnonnanon,UPR
GANSE Codjo Armand,BR
GBENONCHI Gérard,UPR
GBIAN Robert,BR
GLEGBETO Dénis,BR
GODONOU Joël Thimothée Sènou,LD
GOUNOU Salifou Abdoulaye,BR
GUIGUI Honoré Marius,UPR
HONFO Charlemagne,UPR
HOUINSA Godonou David,UPR
HOUNDETE Eric Louis Camille,LD
HOUNGA Midofi Antonin,LD
HOUNGNIBO Coffi Bernard,BR
HOUNMENOU Dénise Mahougnon,LD
HOUNSOU Nounagnon Célestin,LD
IMOROU Taïrou,LD
ISSA Salifou,UPR
ISSIAKA Arouna,LD
KAKPO Mahougnon,UPR
KARIM TIDJANI Mounifa,BR
KASSA Dahoga Barthélémy,BR
KOGBLEVI Délonix Djimèco,UPR
KORA Zénabou,LD
KOUANA Eugénie Akouavi,UPR
KOUMAGBEAFIDE Dodji Kocou Réginal,UPR
KOUSSONDA Adjibadé Moukaram,BR
KOUWANOU Gnonlonfin Mathias,BR
KPOCHAN Ahouefa Adeline Natacha,UPR
LAFIA BOUBAKARI Oumarou,UPR
LOKOSSOU Léopold,UPR
M’PO N’Tia Théophile,BR
MEHOU Afiavi Solange,UPR
MOUCOURE BOKO Souley Malam,LD
N’BOUKE Santos Tawes Borgia,UPR
N’OUEMOU Kounèmè Domitien,UPR
NAHUM Constant,LD
NOUTAÏ Tohouegnon Nestor,UPR
OGBON Kolawolé Djima,LD
OLOSSOUMAI Hélène,LD
OROU SE GUENE Yacoubou,UPR
OROU TAMA Viviane,LD
OUASSAGARI Bio Sika Abdel Kamel,LD
RADJI Abdou Akim,LD
SABI MOHAMED Djamilatou,UPR
SABI KARIM Alassane,LD
SABI YO Sanni Innocent,BR
SALIOU-AREKPA Alidjanatou,BR
SARIKI Raouf,LD
SCHANOU Sofiatou Modjisola,BR
SEHOUETO Lazare Maurice,UPR
SEÏBOU Abdoul Malick,BR
SEÏBOU Assan,BR
SEWADE Gisèle,UPR
SINA OUNINGUI Bio Gounou Idrissou,UPR
SODJINOU Michel François Oloutoyé,LD
SOKPOEKPE Nathanaël,BR
SOSSOU Casimir,BR
SOSSOU Dakpè,UPR
SOUNON BOKE Soumaïla,LD
SOUROKOU Sabi Abel,UPR
TCHANATI Fieto Jeanne,BR
TOKO Charles,BR
TONY GUIMBA Gniré Fatouma,UPR
TOPANOU Prudent Victor Kpoti Kouassivi,UPR
TOSSAH Ogoussi Edwige,LD
TOSSOU Adjoua Gladys Eudoxie,UPR
VIDJINNANGNI Cossi Barthélémy Mellon,UPR
VLAVONOU Gbèhounou Louis,UPR
WOROUCOUBOU Habibou,LD
YAHOUEDEOU François Janvier,BR
YEMPABOU Boundja Jacques,UPR
ZANNOU Viwagnon Jean Mejor,UPR
